RefDes,Componente,Valor / Modelo,Função,Encapsulamento sugerido,Observações
J1,Conector OBD-II,J1962 femea 16 vias,Interface automotiva externa,Conector de borda ou chicote,Modelo exato a confirmar antes do layout final
F1,Fusivel de entrada,1A,Protecao primaria da linha +12V,Automotivo radial ou SMD de potencia,Confirmado na documentacao/EDA existente; part number final em aberto
TVS1,TVS automotiva,SMCJ24A unidirecional,Protecao contra surto na entrada +12V,DO-214AB (SMCJ),Recomendacao de engenharia para RevA final; nao confirmada como item da bancada base
UREV1,Controlador de reversao de polaridade,LM74502-Q1,Protecao contra inversao de polaridade e load disconnect,SOT-23-THIN-8 (DDF),Recomendacao de engenharia para RevA final; requer MOSFETs externos
"QREV1,QREV2",MOSFET N de entrada,40V a 60V logic-level,Par back-to-back comandado por UREV1,SO-8 PowerPAK ou DFN de potencia,Part number final depende da corrente alvo e da dissipacao
U1,Buck regulator,LM2596 ou equivalente,Conversao 12V para 5V,Modulo ou footprint equivalente,Baseline confirmado na documentacao/EDA existente
U4,Regulador 3.3V dedicado,AMS1117-3.3 ou equivalente,Gera +3V3_AUX para perifericos,SOT-223 ou equivalente,Separar alimentacao dos perifericos do 3V3 do DevKit
MCU1,Modulo MCU,ESP32 DevKit 38 pinos,MCU principal,Modulo comercial plugavel,RevA congelada como carrier para DevKit
JMCU1,JMCU2,Headers femea,1x19 2.54 mm,Carrier do ESP32 DevKit,Through-hole,Confirmar geometria com o DevKit comercial final
U2,Transceiver CAN,SN65HVD230,Interface fisica CAN,SOIC-8,Confirmado na documentacao/EDA existente
CCAN1,Capacitor de desacoplamento,100nF,Desacoplamento local do U2,X7R 16V ou superior,Colocar junto do U2
RCAN1,Resistor de terminacao,120R,Terminacao CAN opcional,1206 ou jumper,DNP ou jumper conforme estrategia final de barramento
D_ESD_CAN1,Protetor ESD automotivo para CAN,PESD2CAN24LT-Q,Protecao de CANH e CANL,SOT23,Recomendacao de engenharia para RevA final; posicionar junto de J1
U3,Transceiver K-Line,L9637D,Interface fisica K-Line,SOIC-8,Confirmado na documentacao/EDA existente
RK1,Resistor,510R,Pull-up de K para VS,>= 0.5W axial ou SMD de potencia,Obrigatorio para reproduzir a bancada validada
RLI1,Resistor,10k,Bias de LI para VS,0805 ou 1206,Obrigatorio para reproduzir a bancada validada
CK1,Capacitor,100nF,Desacoplamento VCC do L9637D,X7R 50V,Colocar encostado em U3 VCC-GND
CK2,Capacitor,100nF,Desacoplamento VS do L9637D,X7R 50V,Colocar encostado em U3 VS-GND
D_ESD_K1,Protetor ESD automotivo para K-Line,ESDLIN1524BJ,Protecao da linha K,SOD323,Recomendacao de engenharia para RevA final; posicionar junto de J1 pin 7
DISP1,Display OLED,SH1107 128x128 modulo,Interface local visual,Modulo I2C por header,Footprint final depende do modulo real escolhido
JDISP1,Header do OLED,1x4 2.54 mm,Conexao do modulo OLED,Through-hole,RevA usa modulo por header
ENC1,Encoder rotativo,KY-040,Entrada de navegacao local,Modulo ou footprint equivalente,Footprint final depende do modulo real escolhido
JENC1,Header do encoder,1x5 2.54 mm,Conexao do modulo encoder,Through-hole,RevA usa modulo por header
SW1,DIP switch,3 posicoes,Selecao de protocolo no boot,Through-hole ou SMD,Confirmado na documentacao/EDA existente
RDIP1-RDIP3,Resistores de pull-up,10k,Pull-up externo dos GPIO34-36,0805 ou 1206,Obrigatorio porque esses GPIOs nao tem pull-up interno
SW2-SW7,Botoes momentaneos,Tact switch,Interface local,Through-hole ou SMD,Seis botoes: PREV NEXT UP DOWN OK PROTO
D3,LED de status opcional,LED 3 mm ou SMD,Indicacao de TX,3 mm THT ou 0805/1206,Escolha conforme painel mecanico
RLED3,Resistor serie de LED,330R,Limitacao de corrente do LED_TX,0805 ou 1206,Confirmado na documentacao/EDA existente
MH1-MH4,Furos de fixacao,M3,Fixacao da placa,NPTH M3,Confirmados na documentacao/EDA existente
TP1-TP9,Pontos de teste,Test point,Depuracao de bancada,Test point SMD ou pino,Minimos recomendados: +12V +5V +3V3_AUX GND CANH CANL K TX_K RX_K
